SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
10691 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0081 0251,Athens,,,Kreshel,1,40,40
10722 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081 0207,Athens,,,Ahn,1,40,40
14248 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0081 0251,Athens,,,Kreshel,1,40,40
ADPR,5520,Adv Graphics of Communication,,Advertising and Pub Relations,,,,,,,
14250 0,A 3.0 - 3.0,R,02:00 pm-04:45 pm,0062 0311,Athens,,,Smith,1,20,20
0,A 3.0 - 3.0,T,02:00 pm-03:15 pm,0062 0311,Athens,,,Smith,1,20,20
ADPR,5710,Advt and Comm Man,,Advertising and Pub Relations,,,,,,,
10756 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081 0153,Athens,,,Kim,1,44,44
10758 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0153,Athens,,,Kim,1,44,44
14252 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0081 0213,Athens,,,Phua,1,44,44
ADPR,5740,Advertising/Commun Campaigns,,Advertising and Pub Relations,,,,,,,
10736 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0081 0245,Athens,,,Griffith,1,40,40
25460 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0056 0139,Athens,,,Strausbaugh-Hutchinson 1,,40,40
ADPR,5750,Social Media Analytics,,Advertising and Pub Relations,,,,,,,
29773 0,A 3.0 - 3.0,W,12:20 pm-02:15 pm,0062 0128,Athens,,,Himelboim,1,20,20
0,A 3.0 - 3.0,M,01:25 pm-02:15 pm,0064 0243,Athens,,,Himelboim,1,20,20
29774 0,A 3.0 - 3.0,M,01:25 pm-02:15 pm,0064 0243,Athens,,,Himelboim,1,20,20
0,A 3.0 - 3.0,,F 12:20 pm-02:15 pm,0062 0128,Athens,,,Himelboim,1,20,20
ADPR,5760,Digital and Social Comm Strate,,Advertising and Pub Relations,,,,,,,
19434 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0213,Athens,,,Phua,1,88,88
