SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
PORT,1002,Elem Portuguese,,Romance Languages,,,,,,,
15390 0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,0081 0153,,,Athens,,1,28,28
34320 0,A 4.0 - 4.0,M W,F 11:15 am-12:05 pm,0062 0509,,,Athens,,1,28,28
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
PORT,1110,Accel Elem Port,,Romance Languages,,,,,,,
30122 0,A 4.0 - 4.0,M W,F 12:20 pm-01:10 pm,0062 0506,,,Athens,,1,28,28
0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,0250 0153,,,Athens,,1,28,28
PORT,2001,Intermediate Portuguese,,Romance Languages,,,,,,,
14298 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0062 0507,,,Athens,,1,28,28
30124 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0640 0303,,,Athens,,1,28,28
PORT,2002,Intermediate Portuguese,,Romance Languages,,,,,,,
34321 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0640 0113,,,Athens,,1,20,20
PORT,2600,Intensive Portugues,,Romance Languages,,,,,,,
34322 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0640 0303,,,Athens,Quinlan,1,25,25
PORT,3010,Port Convers and Composit,,Romance Languages,,,,,,,
15159 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0064 0513,,,Athens,Rodrigues,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
PORT,3030,Intro to Lang Lit and Culture,,Romance Languages,,,,,,,
29916 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0640 0350K,,,Athens,Quinlan,1,15,15
PORT,4050,Prose of Port-Speaking World,,Romance Languages,,,,,,,
34830 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0640 0350K,,,Athens,Moser,1,25,25
PORT,4080,Culture Lit of Port-Speak Wor,,Romance Languages,,,,,,,
30127 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0062 0513,,,Athens,Rodrigues,1,25,25
PORT,6050,Prose of Port-Speaking World,,Romance Languages,,,,,,,
34831 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0640 0350K,,,Athens,Moser,1,25,25
PORT,6080,Culture Lit of Port-Speak Wor,,Romance Languages,,,,,,,
30128 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0062 0513,,,Athens,Rodrigues,1,25,25
POUL,1010,Birds in Our Lives,,Poultry Science,,,,,,,
11106 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1013 0319,,,Athens,Davis,1,90,90
POUL,1010E,Birds in Our Lives,,Poultry Science,,,,,,,
26634 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Online,Davis,1,150,150
POUL,2020,Intro Poultry Sci,,Poultry Science,,,,,,,
11592 0,A 3.0 - 3.0,W,F 12:20 pm-01:10 pm,1013 0319,,,Athens,Benson,1,64,64
POUL,2020L,Intro Poul Sci Lab,,Poultry Science,,,,,,,
11593 0,A 0.0 - 0.0,M,11:15 am-01:10 pm,1013 0261,,,Athens,Benson,1,32,32
11594 0,A 0.0 - 0.0,M,02:30 pm-04:25 pm,1013 0261,,,Athens,Benson,1,32,32
POUL,2040,Poultry Evaluation,,Poultry Science,,,,,,,
11108 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,2850 0002,,,Athens,Ritz,1,20,20
POUL,3050,Molecular Avian Bio,,Poultry Science,,,,,,,
19164 0,A 3.0 - 3.0,R,09:30 am-12:15 pm,1013 0261,,,Athens,Kim,1,24,24
0,A 3.0 - 3.0,T,09:30 am-10:45 am,1013 0261,,,Athens,Kim,1,24,24
POUL,3220,Poultry Mibo Fund,,Poultry Science,,,,,,,
26136 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,1013 0238,,,Athens,Thippareddi,1,40,40
POUL,3550,Behav Domestic Anim,,Poultry Science,,,,,,,
11110 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1013 0240,,,Athens,Webster,1,40,40
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
POUL,3750,Poultry Nutrition,,Poultry Science,,,,,,,
11112 0,A 3.0 - 3.0,M W,10:10 am-11:00 am,1013,,0319,Athens,Kim,1,45,45
0,A 3.0 - 3.0,,F 10:10 am-12:05 pm,1013,,0319,Athens,Kim,1,45,45
POUL,3910,Intern Poultry Sci,,Poultry Science,,,,,,,
19410 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
23605 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fairchild,1,10,10
27121 0,A 3.0 - 3.0,,TBA,NCRR,,NCRR,Athens,Ritz,1,5,5
27298 0,A 3.0 - 3.0,,TBA,NCRR,,NCRR,Athens,,1,5,5
32717 0,A 3.0 - 3.0,,TBA,NCRR,,NCRR,Athens,Navara,1,5,5
POUL,3990,Prob in Poult Sci,,Poultry Science,,,,,,,
11309 0,A 1.0 - 5.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
19411 0,A 1.0 - 5.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,,1,5,5
33068 0,A 1.0 - 5.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kiepper,1,5,5
33487 0,A 1.0 - 5.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Benson,1,10,10
POUL,4010,Adv Poul Prod,,Poultry Science,,,,,,,
11140 0,A 4.0 - 4.0,R,02:00 pm-04:45 pm,1013,,0238,Athens,Fairchild,1,30,30
0,A 4.0 - 4.0,T R,08:00 am-09:15 am,1013,,0238,Athens,Fairchild,1,30,30
POUL,4175,Avian Anatomy and Physiology,,Poultry Science,,,,,,,
33936 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,1013,,0319,Athens,Benson,1,70,70
POUL,4200,Avian Anatomy and Physiology,,Poultry Science,,,,,,,
30765 0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,1013,,0319,Athens,Benson,1,28,28
POUL,4200L,Avian Anat and Physiology Lab,,Poultry Science,,,,,,,
30767 0,A 0.0 - 0.0,T,02:00 pm-04:45 pm,1013,,0261,Athens,Benson,1,28,28
POUL,4960,Undergrad Research in Poul Sci,,Poultry Science,,,,,,,
30768 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
31710 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Navara,1,5,5
32070 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kim,1,5,5
32097 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Jordan,1,5,5
32182 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kiepper,1,5,5
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
POUL,4960,Undergrad Research in Poul Sci,,Poultry Science,,,,,,,
32952 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Wilson,1,5,5
33071 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fairchild,1,5,5
POUL,4990,Undergrad Teaching,,Poultry Science,,,,,,,
11265 0,A 2.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
20466 0,A 2.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Ritz,1,5,5
20721 0,A 2.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Benson,1,5,5
POUL,6200,Avian Anatomy and Physiology,,Poultry Science,,,,,,,
26749 0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,1013,,0319,Athens,Benson,1,28,28
POUL,6200L,Avian Anat and Physiology Lab,,Poultry Science,,,,,,,
27001 0,A 0.0 - 0.0,T,02:00 pm-04:45 pm,1013,,0261,Athens,Benson,1,28,28
POUL,7000,Master's Research,,Poultry Science,,,,,,,
11365 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kiepper,1,10,10
11399 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fairchild,1,5,5
11416 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kim,1,5,5
11446 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Navara,1,5,5
28730 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,,1,5,5
30736 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Thippareddi,1,5,5
30737 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Wilson,1,5,5
31290 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
32726 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Webster,1,5,5
33187 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fowler,1,5,5
POUL,7300,Master's Thesis,,Poultry Science,,,,,,,
11500 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kiepper,1,5,5
11505 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fairchild,1,5,5
11506 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kim,1,5,5
22695 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Navara,1,5,5
30742 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,,1,5,5
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
POUL,7300,Master's Thesis,,Poultry Science,,,,,,,
30744 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Thippareddi,1,5,5
30745 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Wilson,1,5,5
POUL,8100,Poultry Seminar,,Poultry Science,,,,,,,
11190 0,A 1.0 - 1.0,M,03:30 pm-04:45 pm,1013,,0319,Athens,Thippareddi,1,30,30
POUL,8510,Problems in Poultry,,Poultry Science,,,,,,,
28235 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Aggrey,1,5,5
POUL,9000,Doctoral Research,,Poultry Science,,,,,,,
11639 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Applegate,1,5,5
11640 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Applegate,1,5,5
11656 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
22613 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
23579 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fowler,1,5,5
23620 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fowler,1,5,5
27527 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Jordan,1,5,5
27528 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Jordan,1,5,5
27529 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kim,1,5,5
27530 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kim,1,5,5
27531 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Navara,1,5,5
27532 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Navara,1,5,5
27533 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,,1,5,5
28700 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,,1,5,5
28701 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Wilson,1,5,5
30754 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Wilson,1,5,5
POUL,9300,Doct Dissertation,,Poultry Science,,,,,,,
11664 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Applegate,1,5,5
11666 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Davis,1,5,5
11667 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Fowler,1,5,5
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
POUL,9300,Doct Dissertation,,Poultry Science,,,,,,,
11668 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Jordan,1,5,5
11670 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kim,1,5,5
25767 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Navara,1,5,5
25768 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,,1,5,5
30755 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Wilson,1,5,5
PSYC,1030H,General Psychology (Honors),,Psychology,,,,,,,
16969 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0064,,0507A,Athens,Lavner,1,19,19
16980 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0064,,0507A,Athens,Martin,1,19,19
30333 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0064,,0309,Athens,Achee,1,19,19
34695 0,A 3.0 - 3.0,M W,F 02:30 pm-03:20 pm,TBA,,TBA,Athens,,1,0,0
34701 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,TBA,,TBA,Athens,,1,0,0
PSYC,1101,Elementary Psychology,,Psychology,,,,,,,
16990 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0066,,N106,Athens,Frick,1,300,300
17001 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081,,0102,Athens,Goodie,1,300,300
17003 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081,,0102,Athens,Goodie,1,300,300
31535 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0081,,0102,Athens,Cyterski,1,300,300
PSYC,3030,Preparing for a Career in Psyc,,Psychology,,,,,,,
17037 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,0064,,0309,Athens,,1,30,30
17039 0,A 1.0 - 1.0,W,01:25 pm-02:15 pm,0064,,0309,Athens,,1,30,30
17042 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,0064,,0309,Athens,,1,30,30
PSYC,3100,Special Topics Psyc,,Psychology,,,,,,,
17062 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0064,,0120,Athens,Haas,1,35,35
31536 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0064,,0120,Athens,Cyterski,1,30,30
34691 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,TBA,,TBA,Athens,,1,0,0
34692 0,A 3.0 - 3.0,M W,F 02:30 pm-03:20 pm,TBA,,TBA,Athens,,1,0,0
34693 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,TBA,,TBA,Athens,,1,0,0
34698 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,TBA,,TBA,Athens,,1,0,0
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
PSYC,3230,Abnormal Psychology,,Psychology,,,,,,,
17123 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081,,0248,Athens,Blount,1,140,140
17147 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0081,,0148,Athens,Strauss,1,140,140
31487 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0064,,0243,Athens,,1,30,30
32363 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0081,,0214,Athens,,1,60,60
34688 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0064,,0111,Athens,,1,30,30
PSYC,3260,Human Sexuality,,Psychology,,,,,,,
30954 0,C 3.0 - 3.0,M W,05:00 pm-06:15 pm,TBA,,TBA,Griffin,Buffington,1,20,20
31538 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0081,,0150,Athens,Welsh,1,140,140
31681 0,C 3.0 - 3.0,T R,12:30 pm-01:45 pm,4400,,TBA,Griffin,Buffington,1,20,20
PSYC,3900H,Honors Sem Psyc,,Psychology,,,,,,,
17176 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0064,,0111,Athens,Martin,1,6,6
17178 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0064,,0507A,Athens,Kuhnert,1,7,7
30334 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0064,,0507A,Athens,Dyckman,1,8,8
PSYC,3980,Research Design in Psychology,,Psychology,,,,,,,
17188 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0064,,0120,Athens,,1,30,30
17196 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0064,,0120,Athens,,1,30,30
17198 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081,,0150,Athens,Cyterski,1,140,140
17201 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0064,,0309,Athens,Lautenschlager,1,30,30
26319 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,4400,,TBA,Griffin,Buffington,1,15,15
30309 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0064,,0120,Athens,Filkowski,1,30,30
PSYC,3990,Research Analysis,,Psychology,,,,,,,
17321 0,A 4.0 - 4.0,T,09:30 am-10:45 am,0064,,0102,Athens,Achee,1,35,35
0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,0081,,0148,Athens,Achee,1,35,35
17328 0,A 4.0 - 4.0,T,11:00 am-12:15 pm,0064,,0102,Athens,Achee,1,35,35
0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,0081,,0148,Athens,Achee,1,35,35
17337 0,A 4.0 - 4.0,R,09:30 am-10:45 am,0064,,0102,Athens,Achee,1,35,35
0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,0081,,0148,Athens,Achee,1,35,35
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
PSYC,3990,Research Analysis,,Psychology,,,,,,,
17343 0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,0081,,0148,Athens,Achee,1,35,35
0,A 4.0 - 4.0,R,12:30 pm-01:45 pm,0064,,0102,Athens,Achee,1,35,35
27053 0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,0081,,0148,Athens,Achee,1,35,35
0,A 4.0 - 4.0,T,12:30 pm-01:45 pm,0064,,0102,Athens,Achee,1,35,35
27054 0,A 4.0 - 4.0,T,02:00 pm-03:15 pm,0064,,0102,Athens,Achee,1,35,35
0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,0081,,0148,Athens,Achee,1,35,35
27055 0,A 4.0 - 4.0,R,02:00 pm-03:15 pm,0064,,0102,Athens,Achee,1,35,35
0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,0081,,0148,Athens,Achee,1,35,35
27056 0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,0081,,0148,Athens,Achee,1,35,35
0,A 4.0 - 4.0,R,03:30 pm-04:45 pm,0064,,0102,Athens,Achee,1,35,35
PSYC,4100,Cognitive Psychology,,Psychology,,,,,,,
17103 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0040,,0123,Athens,Dyckman,1,140,140
30303 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0064,,0507A,Athens,,1,19,19
34690 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,TBA,,TBA,Athens,,1,0,0
34703 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,TBA,,TBA,Athens,,1,0,0
35020 0,A 3.0 - 3.0,M W,02:00 pm-03:15 pm,4400,,TBA,Griffin,Buffington,1,15,15
PSYC,4120,Sense and Perception,,Psychology,,,,,,,
17128 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0064,,0120,Athens,Brown,1,35,35
17141 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0064,,0120,Athens,Brown,1,35,35
17151 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0064,,0120,Athens,,1,19,19
27900 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0064,,0513,Athens,Renzi,1,19,19
PSYC,4130,Physio Comp Psych,,Psychology,,,,,,,
17157 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081,,0350,Athens,Holmes,1,60,60
31558 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0064,,0418,Athens,Renzi,1,19,19
31559 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0064,,0418,Athens,Renzi,1,19,19
34702 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,TBA,,TBA,Athens,,1,0,0
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
PSYC,4140,Cognitive Neuro,,Psychology,,,,,,,
30314 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0064,,0304,Athens,Sabatinelli,1,19,19
31489 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0064,,0111,Athens,,1,30,30
31490 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0061,,0001,Athens,,1,19,19
31491 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0064,,0111,Athens,Haas,1,19,19
PSYC,4150,Biological Health Psychology,,Psychology,,,,,,,
34628 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081,,0150,Athens,Hammond,1,140,140
PSYC,4200,Social Psychology,,Psychology,,,,,,,
17199 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0064,,0243,Athens,Vratanina-Smoot,1,19,19
17202 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0064,,0243,Athens,Vratanina-Smoot,1,35,35
31680 0,A 3.0 - 3.0,M W,05:00 pm-06:15 pm,4400,,TBA,Griffin,Buffington,1,20,20
34658 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0064,,0309,Athens,Carter,1,19,19
34660 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0064,,0418,Athens,Carter,1,19,19
34704 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,TBA,,TBA,Athens,,1,0,0
35022 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,4400,,TBA,Griffin,Buffington,1,15,15
PSYC,4210,Psych Testing,,Psychology,,,,,,,
17206 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0064,,0304,Athens,Hoffman,1,19,19
PSYC,4220,Developmental Psychology,,Psychology,,,,,,,
17213 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0081,,0150,Athens,Welsh,1,140,140
30311 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0064,,0418,Athens,Vratanina-Smoot,1,19,19
31557 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0064,,0418,Athens,Vratanina-Smoot,1,19,19
34707 0,A 3.0 - 3.0,M W,F 03:35 pm-04:25 pm,TBA,,TBA,Athens,,1,0,0
PSYC,4230,Psych of Workplace,,Psychology,,,,,,,
17223 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0064,,0507A,Athens,Shockley,1,19,19
17225 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0064,,0507A,Athens,Shockley,1,19,19
30319 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0064,,0426,Athens,Lautenschlager,1,16,16
PSYC,4600,Psychology of Women,,Psychology,,,,,,,
34644 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0064,,0243,Athens,Clark,1,30,30
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
PSYC,4800,Special Problems,,Psychology,,,,,,,
32508 0,C 1.0 - 3.0,,12:01 am-11:59 am,NCRR,,NCRR,Griffin,,1,1,1
PSYC,4850,Directed Readings Psychology,,Psychology,,,,,,,
27331 0,A 1.0 - 3.0,,12:01 am-11:59 am,NCRR,,NCRR,Griffin,Buffington,1,2,2
PSYC,5100,Seminar in Psychology,,Psychology,,,,,,,
17226 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0064,,0507A,Athens,Sabatinelli,1,19,19
17245 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0064,,0507A,Athens,Kuhnert,1,12,12
17248 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081,,0247,Athens,Miller,1,40,40
17287 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0064,,0309,Athens,Renzi,1,25,25
20633 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0064,,0507A,Athens,Dyckman,1,8,8
30307 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0064,,0111,Athens,Martin,1,19,19
30317 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0064,,0111,Athens,Suveg,1,25,25
30328 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0064,,0111,Athens,Ehrlich,1,25,25
30776 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0064,,0111,Athens,Shaffer,1,25,25
30780 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0064,,0426,Athens,Clementz,1,11,11
